Nb frames par secondes: 24
Type	Time	Value
note_on	0.0	81
note_on	12.0	81
note_on	24.0	81
note_on	36.0	77
note_on	45.0	84
note_on	48.0	81
note_on	60.0	77
note_on	69.0	84
note_on	72.0	81
note_on	96.0	88
note_on	108.0	88
note_on	120.0	88
note_on	132.0	89
note_on	138.0	84
note_on	144.0	80
note_on	156.0	77
note_on	165.0	84
note_on	168.0	81
note_on	192.0	93
note_on	204.0	81
note_on	210.0	81
note_on	216.0	93
note_on	228.0	92
note_on	234.0	91
note_on	240.0	90
note_on	246.0	89
note_on	252.0	90
note_on	258.0	82
note_on	264.0	87
note_on	276.0	86
note_on	282.0	85
note_on	288.0	84
note_on	294.0	83
note_on	300.0	84
note_on	306.0	77
note_on	312.0	80
note_on	324.0	77
note_on	333.0	80
note_on	336.0	84
note_on	348.0	81
note_on	354.0	84
note_on	360.0	88
note_on	384.0	93
note_on	396.0	81
note_on	402.0	81
note_on	408.0	93
note_on	420.0	92
note_on	426.0	91
note_on	432.0	90
note_on	438.0	89
note_on	444.0	90
note_on	450.0	82
note_on	456.0	87
note_on	468.0	86
note_on	474.0	85
note_on	480.0	84
note_on	486.0	83
note_on	492.0	84
note_on	498.0	77
note_on	504.0	80
note_on	516.0	77
note_on	525.0	84
note_on	528.0	81
note_on	540.0	77
note_on	546.0	84
note_on	552.0	81
end_of_track	576.0
